"simIDs"	"systemTime"	"nTrials"	"defCount"	"trueProportion"	"transformedTrueProportion"	"transformedProportionData"	"proportionData"
1	1261440000	100	24	0.24	-1.15266525574779	-5.53650012066706	0.00391986755848411
1	1261440000	100	24	0.24	-1.15266525574779	-4.88461239515574	0.0075003738589432
1	1261440000	100	24	0.24	-1.15266525574779	5.72690870074718	0.996758411539052
1	1261440000	100	24	0.24	-1.15266525574779	0.0352445655438118	0.50881031751667
1	1261440000	100	24	0.24	-1.15266525574779	-0.60952789443271	0.352165420770919
1	1261440000	100	24	0.24	-1.15266525574779	4.86094112469061	0.992321226360814
1	1261440000	100	24	0.24	-1.15266525574779	-3.4480272246124	0.0308230545035499
1	1261440000	100	24	0.24	-1.15266525574779	2.0490648160186	0.885856948001773
1	1261440000	100	24	0.24	-1.15266525574779	0.931272040879965	0.717335457067562
1	1261440000	100	24	0.24	-1.15266525574779	2.7300503209465	0.938781117206725
1	1261440000	100	24	0.24	-1.15266525574779	8.76630824549483	0.99984912468474
1	1261440000	100	24	0.24	-1.15266525574779	-0.896112204774971	0.289847993755404
1	1261440000	100	24	0.24	-1.15266525574779	-3.49606637695815	0.0294196559320854
1	1261440000	100	24	0.24	-1.15266525574779	-6.29177844243853	0.00184306118982135
1	1261440000	100	24	0.24	-1.15266525574779	-7.58118433805128	0.000504702077336008
1	1261440000	100	24	0.24	-1.15266525574779	-3.04716114213151	0.0453356468370642
1	1261440000	100	24	0.24	-1.15266525574779	8.02407997855923	0.999677622757814
1	1261440000	100	24	0.24	-1.15266525574779	-1.34322919827678	0.206976589438881
1	1261440000	100	24	0.24	-1.15266525574779	-0.116329144042153	0.470950175436352
1	1261440000	100	24	0.24	-1.15266525574779	6.61482838129949	0.99866643592941
1	1261440000	100	24	0.24	-1.15266525574779	4.85222460676494	0.992254479223204
1	1261440000	100	24	0.24	-1.15266525574779	2.73502423811453	0.939066372722813
1	1261440000	100	24	0.24	-1.15266525574779	-4.91119258051441	0.00730494665950704
1	1261440000	100	24	0.24	-1.15266525574779	0.0439124882366804	0.510976468064069
1	1261440000	100	24	0.24	-1.15266525574779	-5.06466292687269	0.00627146030037349
1	1261440000	100	24	0.24	-1.15266525574779	-5.83246685640823	0.00291730261106195
1	1261440000	100	24	0.24	-1.15266525574779	-11.0077833306247	1.15721016032641e-05
1	1261440000	100	24	0.24	-1.15266525574779	8.3671273686702	0.99977266952156
1	1261440000	100	24	0.24	-1.15266525574779	-0.483871334297272	0.381337197057128
1	1261440000	100	24	0.24	-1.15266525574779	5.33919162310358	0.995228130628423
1	1261440000	100	24	0.24	-1.15266525574779	-1.76597725000141	0.146039771263903
1	1261440000	100	24	0.24	-1.15266525574779	1.82171684940191	0.860775615570101
1	1261440000	100	24	0.24	-1.15266525574779	-11.5031665251625	5.09806614513446e-06
1	1261440000	100	24	0.24	-1.15266525574779	1.41953407277458	0.80526841598082
1	1261440000	100	24	0.24	-1.15266525574779	-9.87614108974546	4.63840638879813e-05
1	1261440000	100	24	0.24	-1.15266525574779	3.672305292766	0.97521699566032
1	1261440000	100	24	0.24	-1.15266525574779	1.69785256799009	0.845257512338806
1	1261440000	100	24	0.24	-1.15266525574779	-2.18675824473248	0.10094193088988
1	1261440000	100	24	0.24	-1.15266525574779	-5.61164628772809	0.00363677284173714
1	1261440000	100	24	0.24	-1.15266525574779	2.21288100022283	0.901404294108244
1	1261440000	100	24	0.24	-1.15266525574779	-0.884683917448783	0.292206019353973
1	1261440000	100	24	0.24	-1.15266525574779	-8.59352949875407	0.000180268435373962
1	1261440000	100	24	0.24	-1.15266525574779	-0.953096350245545	0.278260330093197
