"simIDs"	"systemTime"	"nTrials"	"defCount"	"trueProportion"	"transformedTrueProportion"	"transformedProportionData"	"proportionData"
1	1261440000	100	21	0.21	-1.32490793459713	7.00757980016217	0.999100813024055
1	1261440000	100	21	0.21	-1.32490793459713	-7.99651682599187	0.00033152322143659
1	1261440000	100	21	0.21	-1.32490793459713	-3.34240403311845	0.0341401278722609
1	1261440000	100	21	0.21	-1.32490793459713	-5.55654849362036	0.0038422635932138
1	1261440000	100	21	0.21	-1.32490793459713	-3.88544654227715	0.0201205098125606
1	1261440000	100	21	0.21	-1.32490793459713	-9.70468277729142	5.59940784758025e-05
1	1261440000	100	21	0.21	-1.32490793459713	-4.71043316751037	0.00891567396213478
1	1261440000	100	21	0.21	-1.32490793459713	0.525925828172515	0.628533661162241
1	1261440000	100	21	0.21	-1.32490793459713	-1.7583886020456	0.146988740822549
1	1261440000	100	21	0.21	-1.32490793459713	0.0125589890055235	0.5031397373802
1	1261440000	100	21	0.21	-1.32490793459713	0.138006080883545	0.534447210042574
1	1261440000	100	21	0.21	-1.32490793459713	-3.65716153281065	0.0251517294941279
1	1261440000	100	21	0.21	-1.32490793459713	-6.50267262114878	0.00149219649254109
1	1261440000	100	21	0.21	-1.32490793459713	-3.14518768416717	0.0412767289757035
1	1261440000	100	21	0.21	-1.32490793459713	2.94942914534545	0.950241003686339
1	1261440000	100	21	0.21	-1.32490793459713	-0.748250856341226	0.321200761886508
1	1261440000	100	21	0.21	-1.32490793459713	0.661475428078899	0.659593340899254
1	1261440000	100	21	0.21	-1.32490793459713	-0.462659921298209	0.386353870144804
1	1261440000	100	21	0.21	-1.32490793459713	4.26114407591708	0.986094921987306
1	1261440000	100	21	0.21	-1.32490793459713	4.81017487114171	0.991924312335711
1	1261440000	100	21	0.21	-1.32490793459713	-6.57350408619982	0.00138995934780723
1	1261440000	100	21	0.21	-1.32490793459713	-3.31078581984227	0.0351983720833523
1	1261440000	100	21	0.21	-1.32490793459713	-4.47257188461449	0.0112841284010256
1	1261440000	100	21	0.21	-1.32490793459713	-10.9868114711116	1.19233134183745e-05
1	1261440000	100	21	0.21	-1.32490793459713	7.71834083709826	0.999560595483006
1	1261440000	100	21	0.21	-1.32490793459713	3.85430548630833	0.979256108368013
1	1261440000	100	21	0.21	-1.32490793459713	-2.63681507624968	0.0668019883520316
1	1261440000	100	21	0.21	-1.32490793459713	0.143700560386635	0.535863805391145
1	1261440000	100	21	0.21	-1.32490793459713	5.90177310461603	0.997277838527242
1	1261440000	100	21	0.21	-1.32490793459713	-5.18582954898033	0.00555921565522715
1	1261440000	100	21	0.21	-1.32490793459713	1.27469325430855	0.781547912460979
1	1261440000	100	21	0.21	-1.32490793459713	-3.83786872513025	0.0210805040138083
1	1261440000	100	21	0.21	-1.32490793459713	-5.2213082351888	0.00536630724204569
1	1261440000	100	21	0.21	-1.32490793459713	-5.11598693465628	0.00595932697191878
1	1261440000	100	21	0.21	-1.32490793459713	-7.13000754751867	0.000795080715898446
1	1261440000	100	21	0.21	-1.32490793459713	-2.23118103245674	0.0969811279095317
1	1261440000	100	21	0.21	-1.32490793459713	2.53234261190438	0.926382546637121
